,EEG.F3,EEG.F4,EEG.FC5,EEG.FC6,EEG.P7,EEG.P8,EEG.T7,EEG.T8
0,4220.512695,4522.436035,4235.512695,4362.179688,4470.897461,4445.128418,4414.743652,4400.641113
1,4220.512695,4517.820313,4236.538574,4357.436035,4465.256348,4442.948730,4413.333496,4399.487305
2,4220.641113,4513.461426,4236.410156,4352.436035,4460.256348,4441.153809,4410.384766,4398.846191
3,4221.410156,4509.358887,4235.256348,4347.692383,4458.077148,4438.333496,4408.333496,4397.307617
4,4222.436035,4505.384766,4234.230957,4343.461426,4458.717773,4432.563965,4408.846191,4393.846191
5,4223.077148,4502.436035,4234.743652,4340.512695,4459.230957,4423.974121,4411.410156,4389.358887
6,4222.948730,4501.410156,4237.179688,4338.974121,4456.410156,4414.871582,4414.487305,4385.769043
7,4222.692383,4502.051270,4240.769043,4338.974121,4449.871582,4408.461426,4416.538574,4384.358887
8,4223.717773,4503.589844,4243.461426,4339.615234,4442.692383,4406.410156,4416.410156,4385.256348
9,4226.282227,4504.743652,4243.077148,4339.615234,4439.743652,4407.563965,4413.461426,4386.922852
10,4228.846191,4504.871582,4239.743652,4338.974121,4442.948730,4408.846191,4407.948730,4387.820313
11,4230.128418,4504.487305,4235.256348,4339.102539,4449.615234,4409.102539,4401.538574,4387.436035
12,4229.871582,4505.769043,4232.307617,4342.051270,4454.615234,4409.358887,4396.794922,4386.666504
13,4229.615234,4511.282227,4231.922852,4349.487305,4455.000000,4413.077148,4395.512695,4388.205078
14,4230.641113,4521.922852,4233.461426,4360.641113,4451.410156,4421.794922,4396.666504,4393.205078
15,4232.820313,4535.128418,4235.384766,4372.563965,4446.666504,4434.358887,4397.820313,4401.153809
16,4235.256348,4547.307617,4236.410156,4382.051270,4443.333496,4447.307617,4397.051270,4408.846191
17,4236.666504,4555.769043,4236.538574,4387.179688,4442.179688,4456.922852,4394.358887,4413.846191
18,4236.794922,4559.230957,4236.025879,4388.333496,4442.820313,4461.538574,4391.282227,4416.153809
19,4236.025879,4558.077148,4235.512695,4387.692383,4443.846191,4462.307617,4389.615234,4417.563965
20,4234.743652,4554.230957,4234.743652,4387.307617,4444.358887,4462.179688,4390.000000,4420.128418
21,4233.333496,4550.000000,4233.333496,4388.205078,4444.230957,4463.846191,4392.692383,4424.230957
22,4231.922852,4546.922852,4231.794922,4389.871582,4443.846191,4467.563965,4397.051270,4428.333496
23,4230.769043,4545.000000,4231.153809,4390.256348,4443.589844,4471.282227,4401.922852,4430.384766
24,4229.871582,4543.077148,4232.051270,4388.205078,4443.589844,4471.922852,4405.256348,4429.358887
25,4228.846191,4540.128418,4233.717773,4383.717773,4443.974121,4468.461426,4405.256348,4425.000000
26,4227.820313,4535.512695,4234.358887,4377.436035,4444.743652,4461.794922,4401.794922,4418.846191
27,4227.179688,4529.358887,4233.333496,4371.025879,4445.512695,4454.487305,4397.051270,4412.563965
28,4227.563965,4522.563965,4231.922852,4365.128418,4445.641113,4447.692383,4394.871582,4407.948730
29,4228.974121,4516.410156,4232.692383,4360.000000,4444.743652,4441.410156,4397.563965,4404.871582
30,4231.410156,4511.538574,4236.794922,4355.641113,4443.717773,4435.000000,4404.230957,4402.436035
31,4234.615234,4507.948730,4242.820313,4351.922852,4444.358887,4427.948730,4411.538574,4400.384766
32,4237.307617,4505.641113,4247.307617,4348.974121,4448.333496,4421.282227,4416.153809,4398.333496
33,4237.820313,4504.743652,4247.692383,4347.436035,4454.358887,4416.410156,4416.282227,4396.666504
34,4235.000000,4506.153809,4243.717773,4347.820313,4458.846191,4415.256348,4413.077148,4395.512695
35,4229.230957,4509.871582,4237.820313,4350.256348,4458.461426,4418.205078,4410.000000,4395.384766
36,4222.563965,4514.871582,4232.436035,4354.743652,4453.077148,4423.846191,4409.871582,4396.666504
37,4217.692383,4519.102539,4228.846191,4359.743652,4446.410156,4430.256348,4411.922852,4399.358887
38,4216.025879,4521.794922,4226.794922,4363.717773,4442.820313,4436.025879,4412.820313,4402.692383
39,4216.794922,4523.461426,4224.871582,4365.769043,4445.000000,4441.538574,4409.358887,4406.538574
40,4218.205078,4526.153809,4222.563965,4366.922852,4451.922852,4447.307617,4402.051270,4411.025879
41,4218.974121,4530.512695,4219.871582,4368.205078,4459.358887,4453.974121,4394.487305,4416.153809
42,4218.205078,4535.000000,4217.179688,4370.000000,4463.717773,4461.666504,4390.000000,4421.794922
43,4216.153809,4537.563965,4215.256348,4371.410156,4463.846191,4469.230957,4389.743652,4427.051270
44,4213.846191,4536.794922,4214.358887,4371.666504,4461.410156,4475.512695,4392.307617,4430.897461
45,4211.794922,4532.948730,4214.102539,4370.128418,4459.358887,4478.846191,4395.384766,4432.436035
46,4209.743652,4527.307617,4214.102539,4366.794922,4459.487305,4478.205078,4397.307617,4431.153809
47,4207.436035,4521.666504,4214.487305,4362.051270,4461.410156,4474.358887,4397.820313,4428.077148
48,4204.871582,4517.051270,4216.025879,4356.794922,4463.461426,4469.102539,4398.077148,4424.102539
49,4202.436035,4513.205078,4217.948730,4352.051270,4463.974121,4464.871582,4399.230957,4420.384766
50,4200.512695,4508.333496,4219.102539,4348.461426,4462.179688,4462.179688,4401.666504,4416.922852
51,4199.102539,4501.538574,4218.077148,4345.897461,4458.333496,4459.487305,4403.717773,4413.589844
52,4198.461426,4494.487305,4215.897461,4343.333496,4453.589844,4454.358887,4402.948730,4409.487305
53,4199.487305,4489.743652,4214.615234,4340.897461,4449.230957,4446.538574,4399.102539,4405.128418
54,4203.205078,4489.615234,4216.153809,4339.615234,4446.666504,4437.692383,4394.743652,4401.282227
55,4209.487305,4494.102539,4220.512695,4340.641113,4445.897461,4430.128418,4393.846191,4398.717773
56,4216.794922,4500.641113,4226.410156,4343.461426,4446.282227,4424.743652,4398.589844,4397.179688
57,4222.051270,4506.538574,4231.922852,4346.410156,4446.282227,4421.025879,4406.538574,4395.769043
58,4223.589844,4509.743652,4235.512695,4347.820313,4445.000000,4418.077148,4413.717773,4394.487305
59,4221.410156,4509.743652,4236.538574,4347.179688,4442.563965,4416.282227,4416.666504,4393.461426
60,4217.820313,4507.051270,4235.128418,4345.769043,4441.153809,4416.282227,4414.871582,4393.461426
61,4215.000000,4503.846191,4232.307617,4345.256348,4441.666504,4418.333496,4409.871582,4394.102539
62,4213.589844,4502.692383,4228.846191,4346.282227,4443.589844,4421.794922,4403.846191,4394.871582
63,4212.692383,4505.256348,4226.025879,4348.589844,4444.615234,4425.128418,4398.846191,4395.000000
64,4211.153809,4510.128418,4225.000000,4351.153809,4443.846191,4427.820313,4396.922852,4394.743652
65,4208.974121,4515.384766,4225.897461,4352.436035,4442.051270,4430.128418,4398.461426,4395.000000
66,4206.794922,4519.743652,4227.948730,4352.051270,4442.051270,4433.077148,4402.179688,4396.282227
67,4205.769043,4523.077148,4229.871582,4351.025879,4445.769043,4437.307617,4405.769043,4398.846191
68,4205.512695,4525.128418,4229.871582,4350.512695,4452.179688,4442.307617,4407.820313,4401.538574
69,4205.256348,4524.871582,4227.563965,4350.641113,4458.205078,4445.897461,4408.717773,4403.077148
70,4204.358887,4521.794922,4224.102539,4350.512695,4461.153809,4446.410156,4408.974121,4402.948730
71,4203.077148,4517.436035,4221.922852,4349.615234,4461.153809,4444.230957,4408.846191,4402.563965
72,4202.692383,4514.615234,4222.820313,4349.358887,4460.384766,4441.922852,4408.717773,4404.102539
73,4204.230957,4515.000000,4226.282227,4351.282227,4460.641113,4441.922852,4408.974121,4408.205078
74,4207.692383,4518.077148,4229.743652,4355.641113,4461.794922,4444.230957,4410.512695,4413.333496
75,4211.538574,4521.153809,4231.538574,4360.256348,4461.922852,4446.666504,4413.077148,4417.179688
76,4213.461426,4521.794922,4231.794922,4362.563965,4460.256348,4446.538574,4416.025879,4418.333496
77,4212.436035,4519.230957,4231.666504,4362.307617,4457.820313,4443.077148,4418.333496,4417.436035
78,4209.102539,4514.615234,4231.538574,4360.256348,4456.410156,4437.820313,4419.230957,4415.512695
79,4205.256348,4509.871582,4230.897461,4357.948730,4457.563965,4432.948730,4418.461426,4413.333496
80,4202.436035,4506.410156,4229.102539,4356.025879,4461.025879,4430.384766,4415.897461,4410.641113
81,4200.897461,4505.000000,4225.897461,4353.974121,4465.512695,4429.743652,4412.692383,4407.436035
82,4200.769043,4505.641113,4222.948730,4351.282227,4468.974121,4429.871582,4410.384766,4404.102539
83,4203.461426,4507.563965,4222.948730,4348.846191,4471.025879,4429.871582,4410.769043,4401.410156
84,4210.384766,4510.000000,4227.436035,4347.436035,4472.692383,4429.743652,4413.846191,4400.128418
85,4220.384766,4513.077148,4235.000000,4347.948730,4474.487305,4430.128418,4417.692383,4400.128418
86,4230.000000,4517.692383,4242.179688,4350.000000,4475.384766,4431.025879,4419.487305,4401.153809
87,4234.358887,4522.820313,4245.384766,4352.307617,4473.974121,4432.307617,4418.589844,4402.948730
88,4231.922852,4527.051270,4243.589844,4354.102539,4470.000000,4433.205078,4415.641113,4405.128418
89,4225.384766,4530.000000,4238.461426,4355.384766,4464.358887,4433.717773,4412.692383,4407.692383
90,4219.871582,4532.820313,4233.846191,4357.179688,4458.974121,4434.230957,4410.641113,4410.256348
91,4219.743652,4537.436035,4232.436035,4360.384766,4455.897461,4436.282227,4409.871582,4412.692383
92,4224.871582,4543.717773,4233.717773,4365.128418,4455.512695,4440.256348,4409.743652,4414.230957
93,4231.538574,4549.871582,4235.384766,4370.000000,4456.410156,4445.000000,4409.358887,4414.871582
94,4235.641113,4553.846191,4236.025879,4373.846191,4456.025879,4448.717773,4408.974121,4415.256348
95,4236.025879,4555.128418,4236.282227,4376.153809,4452.436035,4450.256348,4409.358887,4416.153809
96,4234.487305,4554.230957,4237.436035,4377.051270,4446.153809,4450.384766,4410.641113,4417.563965
97,4233.333496,4551.666504,4239.743652,4376.282227,4439.230957,4450.128418,4412.692383,4418.589844
