,EEG.F3,EEG.F4,EEG.FC5,EEG.FC6,EEG.P7,EEG.P8,EEG.T7,EEG.T8
0,4238.846191,4547.692383,4244.615234,4403.974121,4462.307617,4446.666504,4402.179688,4411.153809
1,4236.410156,4546.410156,4241.794922,4403.461426,4458.461426,4448.589844,4398.717773,4411.025879
2,4233.077148,4543.717773,4235.897461,4401.922852,4456.282227,4447.563965,4394.358887,4407.692383
3,4231.538574,4542.179688,4230.769043,4401.025879,4456.153809,4445.128418,4391.153809,4403.717773
4,4232.820313,4543.333496,4230.641113,4401.794922,4456.666504,4442.948730,4390.384766,4402.051270
5,4236.538574,4546.922852,4236.153809,4403.589844,4456.410156,4441.794922,4392.436035,4403.461426
6,4240.384766,4551.025879,4244.358887,4404.743652,4454.487305,4440.897461,4395.897461,4406.282227
7,4241.794922,4553.589844,4250.512695,4403.461426,4451.922852,4438.461426,4398.077148,4406.794922
8,4240.000000,4552.307617,4250.769043,4398.846191,4450.256348,4433.205078,4397.307617,4402.179688
9,4236.153809,4546.794922,4245.512695,4391.794922,4450.384766,4425.769043,4393.717773,4392.820313
10,4232.820313,4538.333496,4237.948730,4384.230957,4452.179688,4417.820313,4389.743652,4382.436035
11,4231.666504,4530.128418,4232.436035,4378.077148,4455.000000,4411.922852,4387.563965,4375.256348
12,4231.794922,4524.487305,4231.153809,4374.230957,4458.717773,4409.358887,4388.077148,4373.846191
13,4231.282227,4522.307617,4232.820313,4371.794922,4462.692383,4409.871582,4390.000000,4376.922852
14,4228.589844,4522.179688,4233.974121,4369.871582,4466.025879,4411.794922,4391.410156,4380.641113
15,4223.717773,4522.179688,4232.051270,4368.077148,4467.820313,4413.974121,4391.025879,4382.307617
16,4218.461426,4521.538574,4226.922852,4366.922852,4467.948730,4416.282227,4389.230957,4381.538574
17,4214.487305,4520.128418,4221.153809,4367.051270,4466.666504,4418.717773,4387.820313,4380.512695
18,4212.692383,4518.461426,4217.820313,4368.205078,4464.358887,4421.282227,4387.307617,4382.051270
19,4212.820313,4517.436035,4218.974121,4370.641113,4462.179688,4423.333496,4388.077148,4386.666504
20,4214.743652,4518.589844,4223.717773,4374.743652,4460.897461,4425.256348,4389.358887,4393.333496
21,4218.461426,4522.692383,4229.487305,4380.641113,4461.153809,4427.563965,4390.897461,4399.230957
22,4223.589844,4528.717773,4233.717773,4387.948730,4461.922852,4431.025879,4392.179688,4402.692383
23,4228.846191,4534.615234,4235.256348,4394.871582,4462.051270,4435.769043,4393.077148,4403.974121
24,4232.307617,4538.589844,4234.743652,4399.615234,4460.897461,4440.641113,4394.230957,4404.358887
25,4233.461426,4541.153809,4233.589844,4401.410156,4459.358887,4443.974121,4395.512695,4405.256348
26,4233.205078,4543.589844,4232.820313,4400.769043,4458.589844,4444.743652,4396.153809,4406.538574
27,4233.846191,4546.666504,4232.948730,4399.487305,4459.358887,4443.461426,4395.256348,4406.666504
28,4236.666504,4550.256348,4233.717773,4399.230957,4460.769043,4441.922852,4392.948730,4405.000000
29,4241.666504,4553.846191,4234.871582,4401.153809,4462.179688,4441.666504,4390.384766,4402.820313
30,4247.436035,4557.436035,4236.410156,4404.487305,4462.948730,4442.948730,4388.974121,4401.794922
31,4251.922852,4560.128418,4238.205078,4407.563965,4463.205078,4443.846191,4389.358887,4402.563965
32,4253.589844,4560.769043,4239.358887,4408.077148,4462.948730,4442.563965,4390.128418,4403.846191
33,4252.179688,4558.589844,4238.589844,4405.000000,4462.051270,4438.461426,4389.871582,4403.717773
34,4248.205078,4554.102539,4235.000000,4398.846191,4460.769043,4432.563965,4387.820313,4400.512695
35,4242.563965,4548.333496,4229.358887,4391.410156,4459.487305,4426.922852,4384.487305,4394.487305
36,4236.538574,4542.179688,4223.461426,4384.871582,4459.102539,4422.307617,4381.282227,4387.179688
37,4231.410156,4536.922852,4219.230957,4380.769043,4459.615234,4418.974121,4379.487305,4380.769043
38,4228.846191,4533.461426,4217.563965,4379.487305,4460.512695,4416.794922,4379.102539,4376.410156
39,4228.589844,4532.051270,4217.692383,4380.256348,4461.153809,4416.282227,4380.000000,4374.230957
40,4229.102539,4532.179688,4218.589844,4381.153809,4461.410156,4417.692383,4381.794922,4374.102539
41,4228.974121,4532.436035,4218.974121,4381.025879,4461.410156,4420.769043,4383.846191,4375.769043
42,4227.820313,4532.436035,4218.461426,4380.000000,4461.538574,4424.487305,4385.384766,4379.743652
43,4226.410156,4532.436035,4217.051270,4379.358887,4461.794922,4428.077148,4386.153809,4385.512695
44,4226.025879,4533.205078,4215.384766,4380.512695,4462.051270,4430.769043,4386.025879,4391.794922
45,4227.563965,4534.743652,4214.358887,4383.846191,4461.666504,4431.922852,4384.615234,4396.794922
46,4230.128418,4537.051270,4215.000000,4387.820313,4460.769043,4432.179688,4382.307617,4398.974121
47,4232.307617,4539.871582,4216.794922,4390.897461,4459.487305,4432.051270,4380.256348,4398.333496
48,4232.307617,4542.436035,4217.820313,4391.666504,4458.846191,4431.666504,4379.230957,4396.025879
49,4230.256348,4543.205078,4216.153809,4389.871582,4459.230957,4430.641113,4379.615234,4392.948730
50,4227.179688,4541.025879,4211.666504,4385.641113,4460.000000,4428.589844,4380.384766,4390.000000
51,4224.358887,4536.538574,4206.410156,4380.641113,4460.128418,4426.794922,4380.512695,4387.948730
52,4222.820313,4532.563965,4203.717773,4377.051270,4458.846191,4426.025879,4379.871582,4387.307617
53,4223.974121,4533.205078,4205.512695,4377.436035,4455.641113,4426.666504,4379.230957,4388.589844
54,4228.717773,4539.743652,4211.153809,4382.563965,4451.282227,4428.077148,4379.743652,4391.538574
55,4236.410156,4549.743652,4217.820313,4390.897461,4447.179688,4429.615234,4381.153809,4395.256348
56,4244.358887,4557.692383,4222.051270,4400.128418,4444.487305,4431.025879,4382.820313,4398.717773
57,4249.358887,4559.358887,4222.692383,4406.922852,4443.589844,4431.794922,4383.589844,4400.897461
58,4249.358887,4554.102539,4220.641113,4408.717773,4443.461426,4431.282227,4382.948730,4401.410156
