,EEG.F3,EEG.F4,EEG.FC5,EEG.FC6,EEG.P7,EEG.P8,EEG.T7,EEG.T8
0,4227.179688,4513.205078,4235.000000,4368.974121,4413.205078,4396.794922,4371.538574,4365.897461
1,4222.307617,4508.333496,4233.333496,4364.487305,4415.256348,4393.333496,4369.743652,4363.461426
2,4216.794922,4503.333496,4231.666504,4358.717773,4415.769043,4387.820313,4366.538574,4360.256348
3,4212.436035,4498.589844,4230.128418,4353.846191,4411.922852,4381.794922,4362.051270,4357.051270
4,4210.256348,4494.358887,4228.717773,4351.410156,4404.615234,4377.051270,4356.794922,4354.487305
5,4210.512695,4491.794922,4228.461426,4352.051270,4397.563965,4375.641113,4353.077148,4353.589844
6,4212.820313,4492.692383,4230.256348,4355.769043,4395.641113,4378.589844,4353.717773,4355.256348
7,4216.282227,4497.051270,4233.333496,4360.769043,4399.743652,4384.102539,4358.974121,4359.102539
8,4218.461426,4502.051270,4235.897461,4364.743652,4406.410156,4388.717773,4365.256348,4362.948730
9,4217.563965,4503.461426,4235.128418,4365.000000,4410.128418,4388.589844,4367.563965,4363.846191
10,4212.948730,4499.358887,4230.000000,4360.256348,4407.179688,4383.077148,4363.077148,4360.512695
11,4206.025879,4491.410156,4221.922852,4351.666504,4398.846191,4375.256348,4353.333496,4354.487305
12,4199.743652,4484.358887,4215.000000,4343.461426,4389.871582,4369.358887,4343.974121,4349.487305
13,4196.794922,4482.051270,4212.820313,4339.743652,4385.256348,4368.077148,4340.384766,4348.974121
14,4198.077148,4484.871582,4216.538574,4341.666504,4387.051270,4371.538574,4344.487305,4353.077148
15,4201.794922,4489.871582,4223.461426,4347.307617,4393.077148,4377.692383,4352.948730,4359.487305
16,4204.743652,4493.205078,4228.974121,4353.846191,4399.102539,4383.333496,4359.871582,4364.102539
17,4205.256348,4493.974121,4230.000000,4358.461426,4401.538574,4386.025879,4361.153809,4365.128418
18,4203.717773,4493.205078,4226.666504,4360.000000,4399.615234,4384.871582,4357.692383,4363.205078
19,4201.794922,4492.436035,4222.051270,4357.820313,4395.384766,4381.153809,4353.461426,4360.384766
20,4200.512695,4492.179688,4219.230957,4352.820313,4391.282227,4377.436035,4352.179688,4358.205078
21,4200.256348,4491.538574,4218.974121,4347.179688,4388.717773,4375.128418,4353.717773,4356.666504
22,4200.384766,4490.384766,4220.384766,4343.461426,4387.692383,4374.871582,4355.000000,4355.769043
23,4200.769043,4489.743652,4221.538574,4343.461426,4387.948730,4376.025879,4353.461426,4355.000000
24,4200.769043,4490.512695,4221.025879,4346.282227,4388.589844,4377.307617,4348.717773,4353.846191
25,4200.384766,4491.922852,4219.230957,4349.358887,4388.846191,4377.179688,4343.589844,4351.922852
26,4200.128418,4492.692383,4217.307617,4350.384766,4387.820313,4375.384766,4341.025879,4350.000000
27,4200.512695,4491.410156,4216.282227,4348.333496,4385.897461,4372.948730,4341.410156,4349.230957
28,4201.282227,4487.820313,4216.282227,4343.846191,4383.717773,4371.794922,4342.948730,4350.384766
29,4201.538574,4482.692383,4216.538574,4338.205078,4381.666504,4372.436035,4342.692383,4352.307617
30,4200.128418,4477.820313,4216.282227,4332.820313,4379.743652,4373.846191,4340.000000,4352.948730
31,4196.922852,4475.000000,4215.512695,4329.102539,4378.846191,4374.487305,4336.282227,4351.282227
32,4192.692383,4474.615234,4214.871582,4327.179688,4379.358887,4373.077148,4333.974121,4347.563965
33,4188.974121,4474.615234,4214.102539,4325.641113,4381.153809,4369.615234,4334.230957,4343.461426
34,4186.410156,4473.205078,4212.692383,4322.948730,4382.436035,4365.897461,4335.256348,4340.769043
35,4185.512695,4469.743652,4209.871582,4319.358887,4382.051270,4363.846191,4334.230957,4340.641113
36,4185.897461,4465.897461,4206.025879,4316.538574,4379.487305,4363.846191,4330.384766,4341.794922
37,4186.153809,4464.102539,4202.563965,4315.769043,4376.025879,4365.000000,4325.641113,4342.436035
38,4185.769043,4465.512695,4201.410156,4317.307617,4373.461426,4366.410156,4323.205078,4341.666504
39,4185.384766,4469.743652,4203.333496,4320.384766,4373.846191,4368.333496,4325.128418,4340.512695
40,4186.410156,4475.128418,4207.563965,4324.102539,4377.051270,4371.282227,4330.256348,4341.282227
41,4189.230957,4479.102539,4211.794922,4327.436035,4381.153809,4374.615234,4335.384766,4344.743652
42,4192.563965,4480.384766,4213.717773,4329.230957,4384.615234,4377.179688,4337.692383,4348.974121
43,4193.717773,4478.846191,4212.820313,4328.461426,4387.179688,4377.692383,4337.692383,4350.641113
44,4191.922852,4475.512695,4210.384766,4325.512695,4388.846191,4376.153809,4337.307617,4348.077148
45,4188.974121,4472.307617,4208.333496,4322.307617,4389.615234,4373.461426,4338.205078,4343.461426
46,4188.461426,4471.410156,4208.589844,4320.897461,4388.846191,4371.538574,4340.641113,4340.384766
47,4191.794922,4473.717773,4211.282227,4322.820313,4386.922852,4372.307617,4343.333496,4341.794922
48,4197.307617,4478.717773,4215.000000,4328.717773,4385.641113,4376.538574,4345.256348,4347.563965
49,4201.410156,4484.230957,4217.436035,4337.179688,4386.922852,4382.307617,4345.897461,4354.487305
50,4201.025879,4488.077148,4217.307617,4344.615234,4390.641113,4386.410156,4345.128418,4359.102539
51,4195.769043,4487.948730,4214.615234,4347.179688,4393.589844,4386.410156,4342.563965,4358.461426
52,4188.461426,4483.461426,4211.282227,4343.333496,4392.563965,4382.563965,4337.820313,4352.948730
53,4182.436035,4477.051270,4209.102539,4336.025879,4386.538574,4377.563965,4331.666504,4345.897461
54,4180.641113,4472.692383,4209.230957,4329.743652,4378.461426,4374.615234,4326.538574,4341.153809
55,4183.205078,4472.820313,4211.538574,4328.333496,4373.333496,4375.000000,4325.128418,4341.153809
56,4187.307617,4476.282227,4214.102539,4331.282227,4373.589844,4377.179688,4328.333496,4344.487305
57,4189.871582,4479.615234,4215.256348,4334.743652,4377.563965,4378.205078,4334.358887,4347.436035
58,4189.230957,4479.743652,4214.871582,4334.871582,4381.025879,4377.051270,4339.871582,4347.563965
59,4186.666504,4475.769043,4213.589844,4330.641113,4380.512695,4374.230957,4342.563965,4344.358887
60,4184.358887,4469.487305,4212.179688,4324.230957,4376.025879,4371.538574,4342.307617,4339.743652
61,4183.333496,4464.358887,4211.153809,4319.358887,4370.000000,4370.897461,4340.769043,4337.436035
62,4183.461426,4462.948730,4210.641113,4318.846191,4365.000000,4372.307617,4339.615234,4339.743652
63,4183.974121,4465.256348,4210.641113,4322.307617,4362.436035,4374.743652,4339.230957,4345.897461
64,4184.230957,4469.102539,4211.153809,4326.025879,4361.153809,4376.153809,4339.743652,4351.794922
65,4184.615234,4471.794922,4212.051270,4327.051270,4359.743652,4375.256348,4340.256348,4353.461426
66,4185.641113,4472.307617,4213.333496,4325.384766,4358.077148,4372.563965,4340.769043,4350.769043
67,4187.948730,4471.794922,4214.487305,4323.846191,4356.666504,4370.128418,4341.410156,4346.666504
68,4191.410156,4471.922852,4214.743652,4325.000000,4356.410156,4369.743652,4341.794922,4344.615234
69,4195.256348,4473.589844,4214.102539,4328.589844,4357.051270,4371.538574,4341.922852,4345.512695
70,4198.461426,4476.025879,4212.692383,4332.563965,4357.307617,4373.846191,4342.051270,4347.436035
71,4200.000000,4477.820313,4211.666504,4335.256348,4356.025879,4375.384766,4342.307617,4348.205078
72,4200.000000,4478.205078,4211.666504,4335.897461,4352.563965,4375.000000,4342.179688,4346.922852
73,4199.102539,4477.307617,4212.436035,4334.358887,4347.948730,4372.692383,4341.282227,4344.615234
74,4198.589844,4476.922852,4213.589844,4331.538574,4343.461426,4370.128418,4340.000000,4343.589844
75,4199.230957,4479.102539,4214.487305,4330.256348,4340.769043,4369.871582,4339.743652,4345.641113
76,4201.153809,4484.487305,4214.743652,4332.692383,4340.769043,4373.205078,4341.666504,4350.384766
77,4203.461426,4490.769043,4214.615234,4338.205078,4342.692383,4378.717773,4345.641113,4355.256348
78,4204.871582,4494.358887,4214.487305,4342.692383,4344.230957,4383.077148,4349.358887,4356.666504
79,4204.743652,4492.307617,4214.615234,4342.307617,4343.461426,4383.333496,4350.384766,4353.333496
80,4203.205078,4485.769043,4214.871582,4336.282227,4339.871582,4379.358887,4347.820313,4346.922852
81,4201.282227,4478.717773,4215.000000,4328.717773,4335.641113,4374.358887,4343.974121,4341.666504
82,4200.000000,4475.128418,4214.487305,4324.487305,4333.077148,4372.436035,4342.179688,4340.769043
83,4199.871582,4476.794922,4214.230957,4326.410156,4333.333496,4375.641113,4344.358887,4344.358887
84,4201.025879,4481.794922,4214.487305,4332.563965,4335.256348,4382.563965,4349.102539,4349.615234
85,4202.692383,4486.025879,4215.512695,4338.205078,4336.282227,4388.846191,4353.333496,4352.948730
86,4203.589844,4485.769043,4216.025879,4338.846191,4334.358887,4390.897461,4354.358887,4352.307617
87,4202.179688,4480.512695,4214.871582,4333.333496,4329.102539,4387.179688,4351.538574,4348.077148
88,4198.333496,4473.461426,4212.436035,4324.743652,4322.820313,4380.128418,4346.410156,4342.820313
