,EEG.F3,EEG.F4,EEG.FC5,EEG.FC6,EEG.P7,EEG.P8,EEG.T7,EEG.T8
0,4220.897461,4531.666504,4204.230957,4474.358887,4357.692383,4358.717773,4320.512695,4324.615234
1,4219.102539,4526.410156,4203.077148,4470.128418,4357.563965,4356.538574,4320.256348,4322.563965
2,4219.102539,4523.333496,4202.948730,4472.436035,4358.589844,4354.487305,4321.666504,4329.743652
3,4220.000000,4523.589844,4203.974121,4479.230957,4360.000000,4353.077148,4323.717773,4338.846191
4,4220.384766,4526.282227,4205.641113,4487.179688,4361.025879,4353.077148,4325.384766,4342.051270
5,4220.128418,4529.487305,4206.282227,4493.077148,4361.153809,4353.717773,4326.025879,4338.077148
6,4219.871582,4530.384766,4203.846191,4493.974121,4360.256348,4353.589844,4325.128418,4331.666504
7,4219.102539,4527.051270,4198.077148,4488.974121,4358.846191,4351.282227,4322.051270,4327.948730
8,4217.563965,4519.615234,4191.410156,4479.487305,4357.692383,4347.179688,4316.922852,4328.077148
9,4216.025879,4511.538574,4187.051270,4469.487305,4357.436035,4343.077148,4311.794922,4328.589844
10,4215.512695,4506.666504,4187.051270,4463.333496,4357.948730,4340.897461,4309.230957,4325.769043
11,4216.025879,4506.153809,4190.384766,4462.307617,4358.333496,4340.256348,4309.743652,4319.358887
12,4216.025879,4507.179688,4193.077148,4462.820313,4358.077148,4339.230957,4311.410156,4311.794922
13,4214.358887,4505.384766,4191.794922,4460.128418,4356.666504,4336.025879,4311.922852,4306.666504
14,4211.025879,4499.102539,4186.282227,4453.205078,4354.102539,4330.512695,4310.256348,4305.384766
15,4207.563965,4490.512695,4179.487305,4445.512695,4351.666504,4325.641113,4308.077148,4306.794922
16,4206.025879,4484.743652,4176.025879,4441.666504,4350.256348,4324.487305,4306.922852,4308.461426
17,4207.436035,4485.256348,4177.948730,4443.461426,4351.025879,4327.948730,4307.051270,4308.974121
18,4211.025879,4492.820313,4184.102539,4448.589844,4353.589844,4333.717773,4307.948730,4308.974121
19,4214.487305,4504.358887,4190.897461,4454.102539,4356.794922,4338.589844,4309.358887,4311.410156
20,4216.538574,4516.025879,4195.769043,4459.615234,4359.230957,4340.897461,4311.794922,4318.974121
21,4217.563965,4524.230957,4198.077148,4466.282227,4360.256348,4341.922852,4315.000000,4330.384766
22,4218.589844,4527.307617,4199.230957,4473.589844,4359.615234,4343.589844,4318.077148,4340.897461
23,4219.743652,4526.025879,4200.384766,4479.487305,4358.077148,4346.538574,4319.487305,4345.128418
24,4220.384766,4523.205078,4201.538574,4482.692383,4356.410156,4350.256348,4318.333496,4342.051270
25,4220.256348,4521.538574,4201.538574,4482.436035,4355.512695,4353.461426,4315.384766,4335.000000
26,4220.128418,4521.794922,4200.256348,4479.871582,4355.641113,4355.512695,4312.436035,4328.461426
27,4220.128418,4522.692383,4198.717773,4476.410156,4356.666504,4355.641113,4311.025879,4324.743652
