,EEG.F3,EEG.F4,EEG.FC5,EEG.FC6,EEG.P7,EEG.P8,EEG.T7,EEG.T8
0,4222.948730,4533.589844,4222.436035,4444.871582,4222.692383,4377.948730,4359.102539,4373.205078
1,4217.820313,4528.846191,4216.025879,4439.102539,4218.461426,4379.230957,4353.333496,4369.871582
2,4213.589844,4522.051270,4206.153809,4430.512695,4213.589844,4376.025879,4345.256348,4362.436035
3,4211.794922,4517.307617,4197.948730,4423.974121,4210.512695,4371.025879,4338.333496,4354.871582
4,4212.948730,4517.563965,4196.538574,4423.974121,4211.666504,4368.846191,4336.794922,4352.051270
5,4216.538574,4522.692383,4202.436035,4430.000000,4216.922852,4371.282227,4340.897461,4355.256348
6,4220.000000,4528.461426,4210.128418,4437.307617,4222.820313,4376.025879,4346.282227,4361.025879
7,4220.641113,4529.871582,4212.820313,4439.615234,4224.615234,4377.820313,4346.025879,4363.717773
8,4217.820313,4525.769043,4207.948730,4435.128418,4219.871582,4373.846191,4337.051270,4360.000000
9,4213.589844,4520.128418,4199.487305,4427.948730,4211.025879,4366.410156,4324.487305,4353.077148
10,4211.410156,4519.487305,4194.743652,4424.743652,4203.461426,4361.153809,4317.563965,4348.846191
11,4213.205078,4526.153809,4198.077148,4428.461426,4200.769043,4361.794922,4322.692383,4351.153809
12,4217.563965,4535.641113,4207.051270,4435.641113,4201.794922,4367.051270,4337.051270,4357.820313
13,4221.282227,4540.769043,4215.128418,4440.256348,4202.563965,4371.666504,4351.282227,4363.077148
14,4222.307617,4538.589844,4216.922852,4438.846191,4200.128418,4371.282227,4357.436035,4363.205078
15,4220.384766,4531.794922,4212.307617,4432.948730,4194.615234,4366.410156,4353.589844,4358.461426
16,4216.794922,4524.871582,4205.641113,4426.794922,4188.333496,4360.000000,4344.487305,4352.307617
17,4213.205078,4519.615234,4200.769043,4423.333496,4183.717773,4354.871582,4336.410156,4347.692383
18,4211.153809,4515.641113,4199.358887,4423.205078,4181.153809,4351.666504,4332.820313,4345.769043
19,4211.153809,4512.179688,4200.769043,4425.128418,4180.256348,4350.641113,4333.717773,4345.897461
20,4213.077148,4509.615234,4203.461426,4427.307617,4180.897461,4351.922852,4337.563965,4347.563965
21,4216.025879,4509.743652,4206.538574,4428.846191,4183.974121,4355.512695,4342.436035,4350.512695
22,4218.589844,4513.077148,4210.000000,4429.358887,4189.615234,4360.256348,4347.563965,4354.230957
23,4219.615234,4518.333496,4213.461426,4429.358887,4196.282227,4363.846191,4352.051270,4357.820313
24,4218.717773,4522.820313,4215.641113,4429.230957,4201.025879,4364.487305,4354.358887,4359.487305
25,4216.666504,4524.358887,4215.000000,4429.358887,4201.282227,4362.436035,4353.333496,4358.589844
26,4214.743652,4522.948730,4211.153809,4430.000000,4196.794922,4359.871582,4349.358887,4356.153809
27,4213.846191,4520.641113,4206.025879,4430.641113,4189.871582,4359.487305,4344.487305,4354.230957
28,4214.358887,4519.743652,4202.692383,4431.410156,4184.358887,4363.077148,4340.769043,4354.615234
29,4215.641113,4521.410156,4202.820313,4432.051270,4182.948730,4369.487305,4339.358887,4357.563965
