,EEG.F3,EEG.F4,EEG.FC5,EEG.FC6,EEG.P7,EEG.P8,EEG.T7,EEG.T8
0,4167.820313,4228.846191,4223.589844,4287.307617,4463.589844,4478.589844,4352.436035,4461.794922
1,4169.871582,4231.410156,4223.846191,4288.461426,4465.256348,4477.820313,4352.179688,4460.256348
2,4170.000000,4232.051270,4222.820313,4290.128418,4466.282227,4477.179688,4352.563965,4463.333496
3,4167.948730,4231.153809,4221.025879,4291.410156,4466.025879,4476.410156,4352.436035,4467.948730
4,4165.641113,4230.641113,4219.615234,4292.563965,4464.871582,4476.153809,4351.410156,4470.000000
5,4165.384766,4232.307617,4219.615234,4293.077148,4463.846191,4476.410156,4350.641113,4469.102539
6,4166.794922,4234.102539,4220.384766,4292.307617,4463.846191,4476.794922,4350.512695,4467.692383
7,4168.077148,4233.717773,4221.025879,4290.641113,4464.487305,4477.436035,4350.256348,4466.794922
8,4168.589844,4231.153809,4221.153809,4288.974121,4465.384766,4478.205078,4349.615234,4465.384766
9,4168.589844,4228.589844,4221.025879,4287.948730,4466.153809,4478.974121,4349.487305,4463.205078
10,4167.948730,4227.563965,4220.512695,4287.307617,4466.538574,4478.846191,4350.512695,4461.410156
11,4166.538574,4227.179688,4219.615234,4287.436035,4466.538574,4477.948730,4351.666504,4460.512695
12,4165.769043,4227.436035,4218.846191,4288.846191,4466.282227,4477.436035,4351.410156,4459.615234
13,4167.051270,4228.589844,4218.589844,4290.641113,4466.025879,4478.333496,4350.128418,4459.230957
14,4169.615234,4229.871582,4218.846191,4291.153809,4465.897461,4480.000000,4349.615234,4460.641113
15,4170.769043,4229.743652,4219.871582,4289.487305,4465.512695,4480.897461,4350.256348,4462.948730
16,4169.102539,4228.077148,4221.410156,4287.436035,4464.871582,4480.256348,4351.538574,4463.461426
17,4166.153809,4227.179688,4222.948730,4286.922852,4464.230957,4478.589844,4352.563965,4461.794922
18,4164.487305,4228.461426,4223.333496,4288.333496,4463.461426,4476.666504,4353.333496,4461.410156
19,4164.615234,4230.512695,4221.922852,4290.512695,4463.077148,4475.256348,4353.717773,4464.615234
20,4165.897461,4231.666504,4219.358887,4292.179688,4463.461426,4475.641113,4353.589844,4468.717773
21,4167.948730,4231.922852,4217.692383,4292.820313,4464.743652,4477.820313,4353.333496,4470.512695
22,4169.743652,4232.436035,4218.077148,4292.051270,4466.153809,4480.897461,4354.102539,4469.871582
23,4169.871582,4232.948730,4219.743652,4290.512695,4466.538574,4482.820313,4355.897461,4468.974121
24,4167.692383,4232.307617,4221.282227,4289.230957,4465.641113,4482.563965,4356.666504,4468.077148
25,4165.512695,4230.512695,4221.922852,4289.743652,4464.230957,4480.256348,4355.256348,4465.512695
26,4165.512695,4228.461426,4221.666504,4291.282227,4463.846191,4477.179688,4352.307617,4462.179688
27,4167.436035,4226.794922,4221.410156,4291.922852,4464.743652,4474.358887,4350.128418,4460.256348
28,4168.846191,4225.641113,4221.410156,4290.897461,4466.282227,4472.948730,4349.871582,4460.512695
29,4168.717773,4225.512695,4221.794922,4289.615234,4467.692383,4474.102539,4351.410156,4461.538574
30,4168.205078,4226.794922,4222.307617,4289.615234,4467.820313,4477.436035,4353.461426,4462.563965
31,4168.205078,4229.102539,4222.436035,4290.384766,4466.538574,4481.282227,4355.128418,4464.615234
32,4168.205078,4230.128418,4221.922852,4290.897461,4464.615234,4482.948730,4355.384766,4466.794922
33,4167.948730,4229.230957,4221.538574,4291.153809,4463.205078,4481.922852,4354.102539,4466.666504
34,4167.692383,4227.948730,4221.922852,4291.666504,4463.205078,4479.358887,4352.692383,4463.846191
35,4167.692383,4227.692383,4222.692383,4292.179688,4463.717773,4476.794922,4352.563965,4462.051270
36,4167.179688,4228.205078,4222.948730,4291.922852,4463.589844,4475.128418,4353.717773,4464.102539
37,4166.410156,4228.589844,4221.666504,4291.153809,4462.563965,4474.743652,4354.743652,4468.589844
38,4166.538574,4228.717773,4219.615234,4291.025879,4462.051270,4475.512695,4354.358887,4471.025879
39,4168.205078,4229.743652,4218.077148,4291.666504,4462.820313,4476.922852,4353.077148,4470.000000
40,4169.871582,4231.410156,4217.692383,4291.922852,4464.358887,4477.820313,4351.922852,4467.051270
41,4169.487305,4233.077148,4218.333496,4291.666504,4465.512695,4477.692383,4350.641113,4463.589844
42,4167.692383,4234.743652,4219.871582,4292.051270,4465.641113,4477.307617,4349.743652,4460.256348
43,4166.666504,4236.282227,4221.282227,4293.077148,4465.000000,4477.820313,4349.743652,4459.102539
44,4167.179688,4236.666504,4221.538574,4293.461426,4464.230957,4478.589844,4351.025879,4461.794922
45,4168.333496,4234.487305,4220.512695,4292.051270,4463.974121,4478.589844,4352.307617,4467.307617
46,4168.974121,4230.641113,4219.102539,4289.871582,4464.230957,4477.820313,4352.307617,4471.282227
47,4168.717773,4227.948730,4218.589844,4288.077148,4464.871582,4477.179688,4351.666504,4471.666504
48,4167.948730,4227.820313,4219.358887,4286.794922,4464.487305,4477.307617,4351.922852,4470.384766
49,4166.666504,4228.846191,4220.512695,4286.410156,4462.820313,4477.820313,4353.205078,4469.743652
