F3,F4,FC5,FC6,P7,P8,T7,T8
0.48833570737077741652,0.51036661091131685364,0.53384917421983824060,0.55893119637557797663,0.58570617197408458843,0.61405493343551043051,0.64363679825011732571,0.67423921435551259496
0.48003844673723006231,0.49331746411210303238,0.50746953194133836984,0.52255189997186579642,0.53859137369418019770,0.55549257865329793038,0.57303685020763606150,0.59107877181893286878
0.44180813810068747527,0.44255358672810413134,0.44328718789471888151,0.44397119211635427405,0.44456937662758533314,0.44504825579923684709,0.44538126823537382837,0.44554093630216656807
0.40159881856848245185,0.38937673023033536612,0.37617304382384370021,0.36188070532598654028,0.34642499729791542684,0.32985762807848395539,0.31236149578018584938,0.29404726821205218190
0.37195529083660477943,0.34925243408614525809,0.32471894621566688155,0.29821710491447545044,0.26966437140539228912,0.23919965268620482779,0.20718391163535798682,0.17385360733471016959
0.33792377940971601857,0.30766186783601512378,0.27489342855206438943,0.23947446811398578892,0.20133125105243593334,0.16067666526542082051,0.11800453424619558596,0.07365075313460162088
0.30671978472890354395,0.27217417973205132453,0.23466801317603230848,0.19406084645640983566,0.15029000000420403294,0.10361360094438487600,0.05459910577729562564,0.00364143212587903029
0.29392551820071793900,0.25823164024500788738,0.21937237731344608194,0.17721157783166940902,0.13169193756729766220,0.08308357547126461740,0.03196908600084997359,-0.02124071821208059138
0.29345706499374807352,0.25879954356356638101,0.22101425294637158658,0.17996803710130820919,0.13560370728672435647,0.08818003194587759053,0.03825643131711153888,-0.01377101722965629570
0.26862721941470890652,0.23429585662693644399,0.19692408441980818745,0.15637765338787093516,0.11259794108477373664,0.06583995089493981101,0.01665854683488391524,-0.03455545451712729171
0.17434049002458348876,0.13714928981938495633,0.09683526276065423932,0.05325487878302453265,0.00634801009221976683,-0.04360133184708035736,-0.09597716479063181372,-0.15035044720072618385
0.00887663054817103107,-0.03363277817543018633,-0.07951897632717065678,-0.12894438510158434674,-0.18197395493557425028,-0.23827243320962465667,-0.29711519368949163011,-0.35800337893586953175
-0.17180709878370115096,-0.21921020340540803284,-0.27024656031268334822,-0.32510798037110250069,-0.38387519827104826797,-0.44617549444757242938,-0.51119108475215013776,-0.57836597450006022036
-0.30161482177534210125,-0.35021352348977297098,-0.40248058890966614820,-0.45864074616441341536,-0.51880229245016606932,-0.58260179412168389135,-0.64920793408387589274,-0.71806446481822905348
-0.36738164602532796810,-0.41247387374616750755,-0.46098228262475554606,-0.51315142952699266399,-0.56911512586766932476,-0.62856207411487141634,-0.69073487460162585894,-0.75513610370836203867
-0.40852331452754114816,-0.44775009157757938993,-0.49000973330987579457,-0.53554067021466267295,-0.58448234436979273898,-0.63657819224311718020,-0.69117267113383473731,-0.74784135531755402404
-0.46219272681338635644,-0.49674077515810005634,-0.53402284907052011143,-0.57424705149842159013,-0.61753233300082444046,-0.66363985828090166219,-0.71197225394423013789,-0.76214196758002472620
-0.55404346798603298918,-0.58700163727472864927,-0.62258798325278763564,-0.66096895424226942417,-0.70222543476077459168,-0.74609117952553627440,-0.79195731108444156199,-0.83942109729366576332
-0.68508491273671934252,-0.71843313664070951319,-0.75441508852546668162,-0.79315722034718982858,-0.83470045379631818694,-0.87873453225261832777,-0.92460806890734748009,-0.97188077326068933459
-0.80089713163668163620,-0.83389199987940276770,-0.86946837029897683369,-0.90772135277926002672,-0.94866323586993905881,-0.99196331050274078045,-1.03696142396565149646,-1.08320429229869730214
-0.84315224286650503061,-0.87318554932388414702,-0.90557007779393372537,-0.94038225232385319607,-0.97762449659588401829,-1.01699162985459179431,-1.05788446500391475347,-1.09988836354447605537
-0.80763647060532717248,-0.83324217725823956915,-0.86083860953412250083,-0.89050421808729329776,-0.92225416485163136393,-0.95584213711130738833,-0.99076974816388097000,-1.02669510769976191078
-0.73730175173860379445,-0.76066155930600221069,-0.78576520995068188657,-0.81272030658623628518,-0.84157443768020345765,-0.87213198110461276347,-0.90395639699306284953,-0.93675878250434607697
-0.67952580735193335304,-0.70510888570969709743,-0.73250403894918902914,-0.76186522019980740250,-0.79327787177512854022,-0.82655461193647139506,-0.86123105483126094484,-0.89701175709406388847
-0.64478707797579815075,-0.67550293527241145330,-0.70835810568372914453,-0.74354339576683525781,-0.78116659911362584801,-0.82100588413329833593,-0.86250333603648099423,-0.90530658571520750133
-0.60407959432688329571,-0.63794346018436254298,-0.67420469701437890642,-0.71305335530216207296,-0.75458882390980419608,-0.79854798168455365381,-0.84430166424425190375,-0.89144619235128319534
-0.50597260520374809367,-0.53632028813838539261,-0.56888688352269656257,-0.60381382921753457005,-0.64116166073369684764,-0.68066352375935612606,-0.72172757208762927661,-0.76396537555215948689
-0.32597853515838448590,-0.34624414073487053134,-0.36807811665185757866,-0.39154066125880077065,-0.41663638336471486845,-0.44314009135327930844,-0.47060543013759653652,-0.49873074040250259253
-0.09365382657274788636,-0.10125662847317440374,-0.10956030465650551387,-0.11853795893738901246,-0.12813726346723366967,-0.13819412369462549806,-0.14844627803158164103,-0.15870739055453081390
0.15140186728870499988,0.15523055724963807922,0.15919345744117391339,0.16338991253734641562,0.16791873394172901479,0.17288788463173160315,0.17839807723869888223,0.18453131885190027228
0.37744512205930935700,0.38913886113942486311,0.40159171136815013936,0.41495031756009892465,0.42934339820334638249,0.44483933560220484393,0.46142910452288227185,0.47912191818434940460
0.56220247880767260096,0.57711828391549424566,0.59309127426987151566,0.61028705089296653163,0.62884549331022721042,0.64881443007199990358,0.67013329128831444770,0.69277654096948482199
0.69241411487487436460,0.70502809153421508448,0.71857544636162540286,0.73321246401295081530,0.74907267421555268072,0.76620903805329487746,0.78457866235069029237,0.80416885398903970028
0.74556658861915192649,0.74968022123673261348,0.75412903782724249879,0.75903097166331268131,0.76449709497440621053,0.77062165379991665048,0.77746765019153829535,0.78509568860837131155
