F3,F4,FC5,FC6,P7,P8,T7,T8
-0.38363998554707057220,-0.44233669080381154970,-0.50501788293509708438,-0.57204425517832413473,-0.64364042280046029898,-0.71949472766688027381,-0.79874120444280238829,-0.88082581926118019844
-0.27089237622445211384,-0.33068477349586117287,-0.39461261435959071875,-0.46303031091479157633,-0.53615109439405606029,-0.61362906311047227259,-0.69454470368811360714,-0.77830602671720716668
-0.22369117206685701360,-0.28031107449255387998,-0.34094574860088805446,-0.40591522150091968735,-0.47540390086358541577,-0.54905599638226298964,-0.62596638237396529103,-0.70554738445464870722
-0.27049558815140728463,-0.32079451274935510963,-0.37476700784069449934,-0.43267447598390368357,-0.49465672089126622168,-0.56036540999620865211,-0.62896160976466919390,-0.69989353297772016749
-0.37661391710678226996,-0.42176864778266837108,-0.47028537938686404418,-0.52237149036459384899,-0.57812522511699393490,-0.63720313049579446751,-0.69882309234449735413,-0.76246312623535539288
-0.47205801234181493653,-0.51579082451406521592,-0.56272547406594586317,-0.61304918866477464690,-0.66684412762099343208,-0.72376646193449412081,-0.78305014146999618596,-0.84418168022184147947
-0.49598916189501457419,-0.54196319995483022147,-0.59110660648285806573,-0.64363256693508930084,-0.69964393119566836710,-0.75880023509130856141,-0.82031541190150691900,-0.88367015002863325002
-0.43829886950174673510,-0.48739278883605519077,-0.53962421876968402756,-0.59525821552469027065,-0.65444125310626222181,-0.71685011448563640268,-0.78167929109753908623,-0.84841073227583740923
-0.34768672369670172717,-0.39668262199842285742,-0.44861866271349293278,-0.50379422829350017921,-0.56238910047704371298,-0.62411506142103589934,-0.68819471334021486975,-0.75414120471708478988
-0.29273446991671386863,-0.33633638345948302373,-0.38244877575572100437,-0.43135725903065469389,-0.48323971545302907282,-0.53785548399042726331,-0.59452187335744532959,-0.65281902303664574028
-0.32331636160734705809,-0.35783384845905008564,-0.39429883521176906092,-0.43294112641182630474,-0.47390413906029005275,-0.51699625520317071814,-0.56167111857894447269,-0.60759482404440845471
-0.44214244292063892283,-0.46892185440897721227,-0.49722650688413894127,-0.52722760637989418697,-0.55902904969370181831,-0.59247267894972888147,-0.62712437451850633341,-0.66271661619299204737
-0.60058608637791843776,-0.62438087758118721027,-0.64955504693569310337,-0.67625808270120701948,-0.70458043454799623717,-0.73438229380952579906,-0.76528195094823581179,-0.79704277325528205544
-0.72168829027242464846,-0.74583855941407439794,-0.77133258346820265938,-0.79834056781155071647,-0.82697367288257728202,-0.85711559134330728149,-0.88840675224237686258,-0.92063015219813049139
-0.75392642216654082166,-0.77908297513444613180,-0.80549741166884925025,-0.83337710435650791396,-0.86286889303274216800,-0.89389153564074030900,-0.92611188524467524807,-0.95934037714278930231
-0.71540097107495270734,-0.74110960107839995992,-0.76796260054592857536,-0.79619272212286118506,-0.82597280347350621188,-0.85725446327386634060,-0.88973757992553637042,-0.92326150927789685241
-0.66329401747712646298,-0.69062158274815188541,-0.71915858599699766796,-0.74914656751025165971,-0.78076649594753910755,-0.81397645319457800905,-0.84847933455205271081,-0.88411573082570504845
-0.64285186947097439081,-0.67493296526981405581,-0.70864504606740263970,-0.74423716656589589125,-0.78188993282384988692,-0.82152707588288631513,-0.86278621965945290206,-0.90545736032262391646
-0.65303394954676630135,-0.69248221829805145511,-0.73425848236691859672,-0.77862944922816301752,-0.82577761675007410602,-0.87556145677626906476,-0.92749156957908307497,-0.98126510212883710782
-0.65460682381520729489,-0.70166004606322829318,-0.75177200321401860261,-0.80523109175731200082,-0.86222285585729008250,-0.92252997929587865489,-0.98551415385092910881,-1.05076696303629102403
-0.62077888273264403285,-0.67318683360404363292,-0.72917125663060788909,-0.78903122769100786371,-0.85294857102906507240,-0.92064098269950944697,-0.99134889985506946530,-1.06457844949085767006
-0.55261707936560733323,-0.60754757047500840272,-0.66629385370474780714,-0.72914892219240523552,-0.79628163487070968696,-0.86736631933725860666,-0.94157356318501739256,-1.01835850839123343015
-0.47792423573548670213,-0.53374128779149021540,-0.59346427414631264252,-0.65736873795530081921,-0.72560506663571333608,-0.79782247680595164141,-0.87316329262256553445,-0.95105785493171235423
-0.43529257976581631207,-0.49154423619525161593,-0.55178062636413338637,-0.61626038850553566117,-0.68511819961278053182,-0.75798999763136565289,-0.83401055096060405791,-0.91259852948966346808
-0.43797576717926689494,-0.49600243034558505473,-0.55821927354373845898,-0.62488800894869644953,-0.69614344027514774016,-0.77160841571166782771,-0.85039343263668276673,-0.93189736895610519873
-0.47007164886961555483,-0.53206933431120828626,-0.59859043764097041862,-0.66993298363069864187,-0.74625740777306481810,-0.82717040986796053215,-0.91172309308935239880,-0.99927854251672343366
-0.49838661374606768595,-0.56414174150639928573,-0.63461512704018352427,-0.71016286367872905050,-0.79099067522621357984,-0.87670394689150132894,-0.96629914922808191058,-1.05911608853395300400
