latency,duration,type,marker_value,key,timestamp,marker_id
5.586751,0.000000,serial,116,-1,1695863459.186893,1
12.590686,0.000000,serial,116,-1,1695863466.190828,2
19.590717,0.000000,serial,116,-1,1695863473.190859,3
26.594652,0.000000,serial,116,-1,1695863480.194794,4
33.594683,0.000000,serial,116,-1,1695863487.194825,5
40.598618,0.000000,serial,116,-1,1695863494.198760,6
47.598649,0.000000,serial,116,-1,1695863501.198791,7
54.602585,0.000000,serial,116,-1,1695863508.202727,8
61.602616,0.000000,serial,116,-1,1695863515.202758,9
68.606551,0.000000,serial,116,-1,1695863522.206693,10
75.606582,0.000000,serial,116,-1,1695863529.206724,11
82.610517,0.000000,serial,116,-1,1695863536.210659,12
89.610548,0.000000,serial,116,-1,1695863543.210690,13
96.614483,0.000000,serial,116,-1,1695863550.214625,14
103.622323,0.000000,serial,116,-1,1695863557.222465,15
110.622354,0.000000,serial,116,-1,1695863564.222496,16
117.626289,0.000000,serial,116,-1,1695863571.226431,17
124.626320,0.000000,serial,116,-1,1695863578.226462,18
131.634159,0.000000,serial,116,-1,1695863585.234301,19
138.630286,0.000000,serial,116,-1,1695863592.230428,20
145.634221,0.000000,serial,116,-1,1695863599.234363,21
152.634252,0.000000,serial,116,-1,1695863606.234394,22
159.638188,0.000000,serial,116,-1,1695863613.238330,23
166.638219,0.000000,serial,116,-1,1695863620.238361,24
173.638250,0.000000,serial,116,-1,1695863627.238392,25
