latency,duration,type,marker_value,key,timestamp,marker_id
5.301756,0.000000,serial,116,-1,1695862738.000257,1
12.305697,0.000000,serial,116,-1,1695862745.004198,2
19.305733,0.000000,serial,116,-1,1695862752.004234,3
26.309674,0.000000,serial,116,-1,1695862759.008175,4
33.309710,0.000000,serial,116,-1,1695862766.008211,5
40.313651,0.000000,serial,116,-1,1695862773.012152,6
47.313687,0.000000,serial,116,-1,1695862780.012188,7
54.317628,0.000000,serial,116,-1,1695862787.016129,8
61.317664,0.000000,serial,116,-1,1695862794.016165,9
68.430919,0.000000,serial,116,-1,1695862801.129420,10
75.372394,0.000000,serial,116,-1,1695862808.070895,11
82.372431,0.000000,serial,116,-1,1695862815.070932,12
89.376371,0.000000,serial,116,-1,1695862822.074872,13
96.376408,0.000000,serial,116,-1,1695862829.074909,14
103.380348,0.000000,serial,116,-1,1695862836.078849,15
110.380384,0.000000,serial,116,-1,1695862843.078885,16
117.384325,0.000000,serial,116,-1,1695862850.082826,17
124.384362,0.000000,serial,116,-1,1695862857.082863,18
131.388302,0.000000,serial,116,-1,1695862864.086803,19
138.392242,0.000000,serial,116,-1,1695862871.090743,20
145.392279,0.000000,serial,116,-1,1695862878.090780,21
152.392315,0.000000,serial,116,-1,1695862885.090816,22
159.396256,0.000000,serial,116,-1,1695862892.094757,23
166.396292,0.000000,serial,116,-1,1695862899.094793,24
173.400233,0.000000,serial,116,-1,1695862906.098734,25
