latency,duration,type,marker_value,key,timestamp,marker_id
5.258808,0.000000,serial,116,-1,1695863695.934822,1
12.258840,0.000000,serial,116,-1,1695863702.934854,2
19.262776,0.000000,serial,116,-1,1695863709.938790,3
26.266712,0.000000,serial,116,-1,1695863716.942726,4
33.266744,0.000000,serial,116,-1,1695863723.942758,5
40.270680,0.000000,serial,116,-1,1695863730.946694,6
47.270712,0.000000,serial,116,-1,1695863737.946726,7
54.274648,0.000000,serial,116,-1,1695863744.950662,8
61.274681,0.000000,serial,116,-1,1695863751.950695,9
68.282521,0.000000,serial,116,-1,1695863758.958535,10
75.282553,0.000000,serial,116,-1,1695863765.958567,11
82.286489,0.000000,serial,116,-1,1695863772.962503,12
89.286521,0.000000,serial,116,-1,1695863779.962535,13
96.290457,0.000000,serial,116,-1,1695863786.966471,14
103.294393,0.000000,serial,116,-1,1695863793.970407,15
110.298329,0.000000,serial,116,-1,1695863800.974343,16
117.302265,0.000000,serial,116,-1,1695863807.978279,17
124.302297,0.000000,serial,116,-1,1695863814.978311,18
131.306233,0.000000,serial,116,-1,1695863821.982247,19
138.310169,0.000000,serial,116,-1,1695863828.986183,20
145.310201,0.000000,serial,116,-1,1695863835.986215,21
152.314137,0.000000,serial,116,-1,1695863842.990151,22
159.314169,0.000000,serial,116,-1,1695863849.990183,23
166.318106,0.000000,serial,116,-1,1695863856.994120,24
173.318137,0.000000,serial,116,-1,1695863863.994151,25
