latency,duration,type,marker_value,key,timestamp,marker_id
5.629696,0.000000,serial,116,-1,1695863227.120073,1
12.633632,0.000000,serial,116,-1,1695863234.124009,2
19.633664,0.000000,serial,116,-1,1695863241.124041,3
26.633695,0.000000,serial,116,-1,1695863248.124072,4
33.637631,0.000000,serial,116,-1,1695863255.128008,5
40.637663,0.000000,serial,116,-1,1695863262.128040,6
47.641599,0.000000,serial,116,-1,1695863269.131976,7
54.641630,0.000000,serial,116,-1,1695863276.132007,8
61.641662,0.000000,serial,116,-1,1695863283.132039,9
68.645598,0.000000,serial,116,-1,1695863290.135975,10
75.645630,0.000000,serial,116,-1,1695863297.136007,11
82.649566,0.000000,serial,116,-1,1695863304.139943,12
89.649597,0.000000,serial,116,-1,1695863311.139974,13
96.653533,0.000000,serial,116,-1,1695863318.143910,14
103.653565,0.000000,serial,116,-1,1695863325.143942,15
110.657500,0.000000,serial,116,-1,1695863332.147877,16
117.657532,0.000000,serial,116,-1,1695863339.147909,17
124.657564,0.000000,serial,116,-1,1695863346.147941,18
131.661500,0.000000,serial,116,-1,1695863353.151877,19
138.665435,0.000000,serial,116,-1,1695863360.155812,20
145.665467,0.000000,serial,116,-1,1695863367.155844,21
152.669403,0.000000,serial,116,-1,1695863374.159780,22
159.669435,0.000000,serial,116,-1,1695863381.159812,23
166.673370,0.000000,serial,116,-1,1695863388.163747,24
173.673402,0.000000,serial,116,-1,1695863395.163779,25
