latency,duration,type,marker_value,key,timestamp,marker_id
5.161206,0.000000,serial,116,-1,1695863929.762426,1
12.165142,0.000000,serial,116,-1,1695863936.766362,2
19.165175,0.000000,serial,116,-1,1695863943.766395,3
26.173015,0.000000,serial,116,-1,1695863950.774235,4
33.173047,0.000000,serial,116,-1,1695863957.774267,5
40.176983,0.000000,serial,116,-1,1695863964.778203,6
47.177016,0.000000,serial,116,-1,1695863971.778236,7
54.180952,0.000000,serial,116,-1,1695863978.782172,8
61.180984,0.000000,serial,116,-1,1695863985.782204,9
68.181016,0.000000,serial,116,-1,1695863992.782236,10
75.184953,0.000000,serial,116,-1,1695863999.786173,11
82.188889,0.000000,serial,116,-1,1695864006.790109,12
89.192825,0.000000,serial,116,-1,1695864013.794045,13
96.192857,0.000000,serial,116,-1,1695864020.794077,14
103.192889,0.000000,serial,116,-1,1695864027.794109,15
110.196826,0.000000,serial,116,-1,1695864034.798046,16
117.196858,0.000000,serial,116,-1,1695864041.798078,17
124.200794,0.000000,serial,116,-1,1695864048.802014,18
131.200826,0.000000,serial,116,-1,1695864055.802046,19
138.204763,0.000000,serial,116,-1,1695864062.805983,20
145.204795,0.000000,serial,116,-1,1695864069.806015,21
152.204827,0.000000,serial,116,-1,1695864076.806047,22
159.208763,0.000000,serial,116,-1,1695864083.809983,23
166.220508,0.000000,serial,116,-1,1695864090.821728,24
173.216636,0.000000,serial,116,-1,1695864097.817856,25
