latency,duration,type,marker_value,key,timestamp,marker_id
5.817085,0.000000,serial,116,-1,1697145530.670069,1
12.817107,0.000000,serial,116,-1,1697145537.670091,2
19.883498,0.000000,serial,116,-1,1697145544.736482,3
26.848384,0.000000,serial,116,-1,1697145551.701368,4
33.910871,0.000000,serial,116,-1,1697145558.763855,5
40.942126,0.000000,serial,116,-1,1697145565.795110,6
47.852354,0.000000,serial,116,-1,1697145572.705338,7
54.856280,0.000000,serial,116,-1,1697145579.709264,8
61.856303,0.000000,serial,116,-1,1697145586.709287,9
68.860229,0.000000,serial,116,-1,1697145593.713213,10
76.032031,0.000000,serial,116,-1,1697145600.885015,11
83.094518,0.000000,serial,116,-1,1697145607.947502,12
90.059403,0.000000,serial,116,-1,1697145614.912387,13
97.180452,0.000000,serial,116,-1,1697145622.033436,14
104.059448,0.000000,serial,116,-1,1697145628.912432,15
111.063374,0.000000,serial,116,-1,1697145635.916358,16
118.063396,0.000000,serial,116,-1,1697145642.916380,17
125.067323,0.000000,serial,116,-1,1697145649.920307,18
132.067345,0.000000,serial,116,-1,1697145656.920329,19
139.114216,0.000000,serial,116,-1,1697145663.967200,20
146.125950,0.000000,serial,116,-1,1697145670.978934,21
153.125972,0.000000,serial,116,-1,1697145677.978956,22
160.125995,0.000000,serial,116,-1,1697145684.978979,23
167.137729,0.000000,serial,116,-1,1697145691.990713,24
174.149463,0.000000,serial,116,-1,1697145699.002447,25
