latency,duration,type,marker_value,key,timestamp,marker_id
5.778053,0.000000,serial,116,-1,1696464893.666882,1
12.778087,0.000000,serial,116,-1,1696464900.666916,2
19.789832,0.000000,serial,116,-1,1696464907.678661,3
26.782058,0.000000,serial,116,-1,1696464914.670887,4
33.782091,0.000000,serial,116,-1,1696464921.670920,5
40.782125,0.000000,serial,116,-1,1696464928.670954,6
47.786063,0.000000,serial,116,-1,1696464935.674892,7
54.786096,0.000000,serial,116,-1,1696464942.674925,8
61.786130,0.000000,serial,116,-1,1696464949.674959,9
68.790068,0.000000,serial,116,-1,1696464956.678897,10
75.790101,0.000000,serial,116,-1,1696464963.678930,11
82.794039,0.000000,serial,116,-1,1696464970.682868,12
89.794073,0.000000,serial,116,-1,1696464977.682902,13
96.798010,0.000000,serial,116,-1,1696464984.686839,14
103.798044,0.000000,serial,116,-1,1696464991.686873,15
110.798077,0.000000,serial,116,-1,1696464998.686906,16
117.802015,0.000000,serial,116,-1,1696465005.690844,17
124.802049,0.000000,serial,116,-1,1696465012.690878,18
131.802082,0.000000,serial,116,-1,1696465019.690911,19
138.802116,0.000000,serial,116,-1,1696465026.690945,20
145.806054,0.000000,serial,116,-1,1696465033.694883,21
152.806087,0.000000,serial,116,-1,1696465040.694916,22
159.810025,0.000000,serial,116,-1,1696465047.698854,23
166.810059,0.000000,serial,116,-1,1696465054.698888,24
173.810092,0.000000,serial,116,-1,1696465061.698921,25
