latency,duration,type,marker_value,key,timestamp,marker_id
6.703318,0.000000,serial,116,-1,1696288782.696389,1
13.695538,0.000000,serial,116,-1,1696288789.688609,2
20.711183,0.000000,serial,116,-1,1696288796.704254,3
27.699498,0.000000,serial,116,-1,1696288803.692569,4
34.703431,0.000000,serial,116,-1,1696288810.696502,5
41.703459,0.000000,serial,116,-1,1696288817.696530,6
48.726912,0.000000,serial,116,-1,1696288824.719983,7
55.715227,0.000000,serial,116,-1,1696288831.708298,8
62.707447,0.000000,serial,116,-1,1696288838.700518,9
69.777749,0.000000,serial,116,-1,1696288845.770820,10
76.711408,0.000000,serial,116,-1,1696288852.704479,11
83.715340,0.000000,serial,116,-1,1696288859.708411,12
90.715368,0.000000,serial,116,-1,1696288866.708439,13
97.734917,0.000000,serial,116,-1,1696288873.727988,14
104.738849,0.000000,serial,116,-1,1696288880.731920,15
111.719357,0.000000,serial,116,-1,1696288887.712428,16
118.723289,0.000000,serial,116,-1,1696288894.716360,17
125.723317,0.000000,serial,116,-1,1696288901.716388,18
132.723345,0.000000,serial,116,-1,1696288908.716416,19
139.727278,0.000000,serial,116,-1,1696288915.720349,20
146.727306,0.000000,serial,116,-1,1696288922.720377,21
153.727334,0.000000,serial,116,-1,1696288929.720405,22
160.731266,0.000000,serial,116,-1,1696288936.724337,23
167.731295,0.000000,serial,116,-1,1696288943.724366,24
174.731323,0.000000,serial,116,-1,1696288950.724394,25
